2003,48,80679.999,456508.23,132,48,80679.999,456508.23,46,5180546,132,0,97,4831,0.5286969,449,449
2004,44,80679.999,456508.23,126,44,80679.999,456508.23,46,5180546,126,0,90,4831,0.537726,413,413
2005,53,80679.999,456508.23,216,53,80679.999,456508.23,46,5180546,216,0,99,4831,0.5533467,236,236
2006,60,80679.999,456508.23,294,60,80679.999,456508.23,46,5180546,294,0,110,4831,0.554186,244,244
2007,53,80679.999,456508.23,191,53,80679.999,456508.23,46,5180546,191,0,70,4831,0.559052,198,198
2008,56,80679.999,456508.23,195,56,80679.999,456508.23,46,5180546,195,0,102,4831,0.5666701,187,187
2009,48,80679.999,456508.23,177,48,80679.999,456508.23,46,5180546,177,0,82,4831,0.576886,235,235
2003,48,80679.999,456508.23,132,4,81740.394,456794.29,78,5180478,56,1098.302,6,4859,0.5452289,449,146
2004,44,80679.999,456508.23,126,2,81740.394,456794.29,78,5180478,2,1098.302,4,4859,0.5544605,413,77
2005,53,80679.999,456508.23,216,10,81740.394,456794.29,78,5180478,16,1098.302,8,4859,0.560952,236,67
2006,60,80679.999,456508.23,294,6,81740.394,456794.29,78,5180478,9,1098.302,6,4859,0.562126,244,59
2007,53,80679.999,456508.23,191,6,81740.394,456794.29,78,5180478,12,1098.302,5,4859,0.5633683,198,48
2009,48,80679.999,456508.23,177,14,81740.394,456794.29,78,5180478,17,1098.302,4,4859,0.5879061,235,67
2003,48,80679.999,456508.23,132,98,79980.953,458771.21,71,5180271,691,2368.488,12,4852,0.5136536,449,544
2004,44,80679.999,456508.23,126,116,79980.953,458771.21,71,5180271,931,2368.488,8,4852,0.5180805,413,528
2005,53,80679.999,456508.23,216,107,79980.953,458771.21,71,5180271,615,2368.488,10,4852,0.5297579,236,411
2006,60,80679.999,456508.23,294,118,79980.953,458771.21,71,5180271,705,2368.488,8,4852,0.53463,244,322
2007,53,80679.999,456508.23,191,131,79980.953,458771.21,71,5180271,848,2368.488,7,4852,0.5401558,198,425
2008,56,80679.999,456508.23,195,106,79980.953,458771.21,71,5180271,474,2368.488,7,4852,0.5492218,187,385
2009,48,80679.999,456508.23,177,109,79980.953,458771.21,71,5180271,699,2368.488,8,4852,0.557173,235,376
2003,48,80679.999,456508.23,132,26,83018.757,455383.17,65,5182665,194,2595.291,13,4846,0.5312763,449,447
2004,44,80679.999,456508.23,126,41,83018.757,455383.17,65,5182665,300,2595.291,7,4846,0.5442048,413,406
2005,53,80679.999,456508.23,216,30,83018.757,455383.17,65,5182665,221,2595.291,7,4846,0.5511714,236,251
2006,60,80679.999,456508.23,294,30,83018.757,455383.17,65,5182665,251,2595.291,13,4846,0.552279,244,233
2007,53,80679.999,456508.23,191,31,83018.757,455383.17,65,5182665,189,2595.291,5,4846,0.5670841,198,266
2008,56,80679.999,456508.23,195,28,83018.757,455383.17,65,5182665,205,2595.291,4,4846,0.577693,187,268
2009,48,80679.999,456508.23,177,22,83018.757,455383.17,65,5182665,62,2595.291,2,4846,0.5892745,235,281
2003,48,80679.999,456508.23,132,118,83467.143,455747.16,66,5182666,1291,2889.186,24,4847,0.5171645,449,482
2004,44,80679.999,456508.23,126,154,83467.143,455747.16,66,5182666,1287,2889.186,11,4847,0.5255535,413,462
